flightnumber,status,departure_airport_icao,departure_airport_iata,departure_airport_name,arrival_scheduledTimeLocal,arrival_actualTimeLocal,arrival_scheduledTimeUtc,arrival_actualTimeUtc,arrival_terminal,aircraft_model,airline_name,arrival_airport_icao
SK 3275,Expected,LPPR,OPO,Porto,2022-06-15 09:40:00+02:00,2022-06-15 09:40:00+02:00,2022-06-15 07:40:00+00:00,2022-06-15 07:40:00+00:00,1,Airbus A321,SAS,EDDF
SK 8553,Expected,EDDN,NUE,Nuremberg,2022-06-15 09:10:00+02:00,2022-06-15 09:10:00+02:00,2022-06-15 07:10:00+00:00,2022-06-15 07:10:00+00:00,1,Embraer 190,SAS,EDDF
SK 9312,Expected,LDDU,DBV,Dubrovnik,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Airbus A319,SAS,EDDF
SQ 2019,Expected,EDDS,STR,Stuttgart,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Airbus A320 (Sharklets),Singapore,EDDF
SQ 2027,Expected,EDDN,NUE,Nuremberg,2022-06-15 09:10:00+02:00,2022-06-15 09:10:00+02:00,2022-06-15 07:10:00+00:00,2022-06-15 07:10:00+00:00,1,Embraer 190,Singapore,EDDF
SQ 2029,Expected,EDDW,BRE,Bremen,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Canadair CRJ 900NG,Singapore,EDDF
SQ 2031,Expected,EDDP,LEJ,Leipzig,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Canadair CRJ 900,Singapore,EDDF
SQ 2033,Expected,EDDV,HAJ,Hanover,2022-06-15 09:25:00+02:00,2022-06-15 09:25:00+02:00,2022-06-15 07:25:00+00:00,2022-06-15 07:25:00+00:00,1,Canadair CRJ 900NG,Singapore,EDDF
SQ 2035,Expected,EDDC,DRS,Dresden,2022-06-15 09:45:00+02:00,2022-06-15 09:45:00+02:00,2022-06-15 07:45:00+00:00,2022-06-15 07:45:00+00:00,1,Airbus A320 NEO,Singapore,EDDF
SQ 2057,Expected,EDDH,HAM,Hamburg,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Airbus A320 (Sharklets),Singapore,EDDF
SQ 2381,Expected,EPWA,WAW,Warsaw,2022-06-15 09:40:00+02:00,2022-06-15 09:40:00+02:00,2022-06-15 07:40:00+00:00,2022-06-15 07:40:00+00:00,1,Embraer 190,Singapore,EDDF
SQ 2414,Expected,LDDU,DBV,Dubrovnik,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Airbus A319,Singapore,EDDF
TP 6876,Expected,LDDU,DBV,Dubrovnik,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Airbus A319,TAP Air Portugal,EDDF
TP 7731,Expected,EDDW,BRE,Bremen,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Canadair CRJ 900NG,TAP Air Portugal,EDDF
TP 7789,Expected,EDDN,NUE,Nuremberg,2022-06-15 09:10:00+02:00,2022-06-15 09:10:00+02:00,2022-06-15 07:10:00+00:00,2022-06-15 07:10:00+00:00,1,Embraer 190,TAP Air Portugal,EDDF
TP 7833,Expected,EDDC,DRS,Dresden,2022-06-15 09:45:00+02:00,2022-06-15 09:45:00+02:00,2022-06-15 07:45:00+00:00,2022-06-15 07:45:00+00:00,1,Airbus A320 NEO,TAP Air Portugal,EDDF
UA 6847,Expected,EPWA,WAW,Warsaw,2022-06-15 09:40:00+02:00,2022-06-15 09:40:00+02:00,2022-06-15 07:40:00+00:00,2022-06-15 07:40:00+00:00,1,Embraer 190,United,EDDF
UA 7255,Expected,LDDU,DBV,Dubrovnik,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Airbus A319,United,EDDF
UA 7267,Expected,LDZA,ZAG,Zagreb,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Bombardier Dash 8 Q400 / DHC-8-400,United,EDDF
UA 8718,Expected,KSEA,SEA,Seattle,2022-06-15 09:35:00+02:00,2022-06-15 09:35:00+02:00,2022-06-15 07:35:00+00:00,2022-06-15 07:35:00+00:00,1,Airbus A330,United,EDDF
UA 8761,Expected,EDDN,NUE,Nuremberg,2022-06-15 09:10:00+02:00,2022-06-15 09:10:00+02:00,2022-06-15 07:10:00+00:00,2022-06-15 07:10:00+00:00,1,Embraer 190,United,EDDF
UA 8921,Expected,EDDC,DRS,Dresden,2022-06-15 09:45:00+02:00,2022-06-15 09:45:00+02:00,2022-06-15 07:45:00+00:00,2022-06-15 07:45:00+00:00,1,Airbus A320 NEO,United,EDDF
UA 8933,Expected,EDDH,HAM,Hamburg,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Airbus A320 (Sharklets),United,EDDF
UA 8935,Expected,EDDV,HAJ,Hanover,2022-06-15 09:25:00+02:00,2022-06-15 09:25:00+02:00,2022-06-15 07:25:00+00:00,2022-06-15 07:25:00+00:00,1,Canadair CRJ 900NG,United,EDDF
UA 8965,Expected,EDDS,STR,Stuttgart,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Airbus A320 (Sharklets),United,EDDF
UA 8979,Expected,EDDL,DUS,Duesseldorf,2022-06-15 09:25:00+02:00,2022-06-15 09:25:00+02:00,2022-06-15 07:25:00+00:00,2022-06-15 07:25:00+00:00,1,Airbus A321,United,EDDF
UA 8995,Expected,EDDW,BRE,Bremen,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Canadair CRJ 900NG,United,EDDF
UA 9007,Expected,EDDP,LEJ,Leipzig,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Canadair CRJ 900,United,EDDF
UA 9214,Expected,EDDB,BER,Berlin,2022-06-15 09:55:00+02:00,2022-06-15 09:55:00+02:00,2022-06-15 07:55:00+00:00,2022-06-15 07:55:00+00:00,1,Airbus A321,United,EDDF
A3 3081,Expected,CYYC,YYC,Calgary,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Boeing 777-300ER,Aegean,EDDF
AC 2994,Expected,LDZA,ZAG,Zagreb,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Airbus A319,Air Canada,EDDF
AC 9011,Expected,LEBL,BCN,Barcelona,2022-06-15 10:10:00+02:00,2022-06-15 10:10:00+02:00,2022-06-15 08:10:00+00:00,2022-06-15 08:10:00+00:00,1,Airbus A321,Air Canada,EDDF
AC 9022,Expected,LSGG,GVA,Geneva,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Embraer 190,Air Canada,EDDF
AC 9120,Expected,EDDB,BER,Berlin,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Airbus A321,Air Canada,EDDF
AC 9347,Expected,EDDM,MUC,Munich,2022-06-15 10:00:00+02:00,2022-06-15 10:00:00+02:00,2022-06-15 08:00:00+00:00,2022-06-15 08:00:00+00:00,1,Airbus A321,Air Canada,EDDF
BT 5631,Expected,LROP,OTP,Bucharest,2022-06-15 10:15:00+02:00,2022-06-15 10:15:00+02:00,2022-06-15 08:15:00+00:00,2022-06-15 08:15:00+00:00,2,Airbus A318,Air Baltic,EDDF
CA 6250,Expected,SBGR,GRU,São Paulo,2022-06-15 10:50:00+02:00,2022-06-15 10:50:00+02:00,2022-06-15 08:50:00+00:00,2022-06-15 08:50:00+00:00,1,Boeing 747-8,Air China LTD,EDDF
AC 9568,Expected,EDDG,FMO,Münster,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Canadair CRJ 900NG,Air Canada,EDDF
AC 9619,Expected,LIMC,MXP,Milan,2022-06-15 10:25:00+02:00,2022-06-15 10:25:00+02:00,2022-06-15 08:25:00+00:00,2022-06-15 08:25:00+00:00,1,Airbus A319,Air Canada,EDDF
LH 6001,Expected,LDZA,ZAG,Zagreb,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Airbus A319,Lufthansa,EDDF
LH 9419,Expected,LTAI,AYT,Antalya,2022-06-15 10:35:00+02:00,2022-06-15 10:35:00+02:00,2022-06-15 08:35:00+00:00,2022-06-15 08:35:00+00:00,1,Boeing 737-800,Lufthansa,EDDF
LX 3600,Expected,LSZH,ZRH,Zurich,2022-06-15 10:35:00+02:00,2022-06-15 10:35:00+02:00,2022-06-15 08:35:00+00:00,2022-06-15 08:35:00+00:00,1,Airbus A319,SWISS,EDDF
LX 3662,Expected,LSGG,GVA,Geneva,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Embraer 190,SWISS,EDDF
NH 5442,Expected,LEBL,BCN,Barcelona,2022-06-15 10:10:00+02:00,2022-06-15 10:10:00+02:00,2022-06-15 08:10:00+00:00,2022-06-15 08:10:00+00:00,1,Airbus A321,ANA,EDDF
NH 5872,Expected,LFPG,CDG,Paris,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Airbus A320 (sharklets),ANA,EDDF
NH 5895,Expected,SBGR,GRU,São Paulo,2022-06-15 10:50:00+02:00,2022-06-15 10:50:00+02:00,2022-06-15 08:50:00+00:00,2022-06-15 08:50:00+00:00,1,Boeing 747-8,ANA,EDDF
NH 6052,Expected,EDDB,BER,Berlin,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Airbus A321,ANA,EDDF
NH 6154,Expected,LIMC,MXP,Milan,2022-06-15 10:25:00+02:00,2022-06-15 10:25:00+02:00,2022-06-15 08:25:00+00:00,2022-06-15 08:25:00+00:00,1,Airbus A319,ANA,EDDF
NH 6156,Expected,LOWW,VIE,Vienna,2022-06-15 10:35:00+02:00,2022-06-15 10:35:00+02:00,2022-06-15 08:35:00+00:00,2022-06-15 08:35:00+00:00,1,Airbus A321,ANA,EDDF
