flightnumber,status,departure_airport_icao,departure_airport_iata,departure_airport_name,arrival_scheduledTimeLocal,arrival_actualTimeLocal,arrival_scheduledTimeUtc,arrival_actualTimeUtc,arrival_terminal,aircraft_model,airline_name,arrival_airport_icao
AC 9118,Expected,EDDB,BER,Berlin,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Airbus A321,Air Canada,EDDF
AC 9148,Expected,EDDP,LEJ,Leipzig,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Bombardier CRJ900,Air Canada,EDDF
AC 9178,Expected,LEMD,MAD,Madrid,2022-06-15 11:00:00+02:00,2022-06-15 11:00:00+02:00,2022-06-15 09:00:00+00:00,2022-06-15 09:00:00+00:00,1,Airbus A321,Air Canada,EDDF
AC 9225,Expected,EDDS,STR,Stuttgart,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,Air Canada,EDDF
AC 9236,Expected,EDDV,HAJ,Hanover,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,Air Canada,EDDF
AC 9242,Expected,EDDL,DUS,Duesseldorf,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Airbus A320 (sharklets),Air Canada,EDDF
AC 9262,Expected,EDDC,DRS,Dresden,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Embraer 190,Air Canada,EDDF
AC 9272,Expected,EKCH,CPH,Copenhagen,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 (sharklets),Air Canada,EDDF
AC 7367,Expected,LIMF,TRN,Torino,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Embraer 195,Air Canada,EDDF
AC 9074,Expected,EHAM,AMS,Amsterdam,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A320 NEO,Air Canada,EDDF
AC 9079,Expected,EPWA,WAW,Warsaw,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A321,Air Canada,EDDF
AC 9371,Expected,LFMN,NCE,Nice,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A320 NEO,Air Canada,EDDF
AC 9395,Expected,LFBO,TLS,Toulouse-Blagnac,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A319,Air Canada,EDDF
AC 9498,Expected,LIML,LIN,Milan,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Airbus A320 NEO,Air Canada,EDDF
AC 9541,Expected,LLBG,TLV,Tel Aviv Yafo,2022-06-15 11:30:00+02:00,2022-06-15 11:30:00+02:00,2022-06-15 09:30:00+00:00,2022-06-15 09:30:00+00:00,1,Airbus A321 NEO,Air Canada,EDDF
AC 9968,Expected,ESSA,ARN,Stockholm,2022-06-15 11:15:00+02:00,2022-06-15 11:15:00+02:00,2022-06-15 09:15:00+00:00,2022-06-15 09:15:00+00:00,1,BCS3,Air Canada,EDDF
EN 271,Expected,LIML,LIN,Milan,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Airbus A320 NEO,Air Dolomiti,EDDF
ET 1617,Expected,KJFK,JFK,New York,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A340-300,ET,EDDF
LG 1492,Expected,EPWA,WAW,Warsaw,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A321,Luxair,EDDF
LH 6227,Expected,ESSA,ARN,Stockholm,2022-06-15 11:15:00+02:00,2022-06-15 11:15:00+02:00,2022-06-15 09:15:00+00:00,2022-06-15 09:15:00+00:00,1,BCS3,Lufthansa,EDDF
LH 7401,Expected,LIRP,PSA,Pisa,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Embraer 195,Lufthansa,EDDF
LH 6913,Expected,LOWI,INN,Innsbruck,2022-06-15 11:45:00+02:00,2022-06-15 11:45:00+02:00,2022-06-15 09:45:00+00:00,2022-06-15 09:45:00+00:00,1,Embraer 195,Lufthansa,EDDF
LH 6925,Expected,LOWG,GRZ,Graz,2022-06-15 11:45:00+02:00,2022-06-15 11:45:00+02:00,2022-06-15 09:45:00+00:00,2022-06-15 09:45:00+00:00,1,Embraer 195,Lufthansa,EDDF
LH 9521,Expected,LIMF,TRN,Torino,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Embraer 195,Lufthansa,EDDF
NH 5411,Expected,EHAM,AMS,Amsterdam,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A320 NEO,ANA,EDDF
NH 5421,Expected,LFBO,TLS,Toulouse-Blagnac,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A319,ANA,EDDF
NH 5864,Expected,EGLC,LCY,London,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Embraer 190,ANA,EDDF
NH 6182,Expected,EKCH,CPH,Copenhagen,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 (sharklets),ANA,EDDF
NH 6212,Expected,EDDH,HAM,Hamburg,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A321,ANA,EDDF
NH 6224,Expected,EDDV,HAJ,Hanover,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,ANA,EDDF
NH 6226,Expected,EDDP,LEJ,Leipzig,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Bombardier CRJ900,ANA,EDDF
NH 6232,Expected,EGLL,LHR,London,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 NEO,ANA,EDDF
NZ 4231,Expected,CYVR,YVR,Vancouver,2022-06-15 11:00:00+02:00,2022-06-15 11:00:00+02:00,2022-06-15 09:00:00+00:00,2022-06-15 09:00:00+00:00,1,Boeing 747,Air New Zealand,EDDF
LO 5375,Expected,EPWA,WAW,Warsaw,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A321,LOT - Polish,EDDF
LX 4017,Expected,CYVR,YVR,Vancouver,2022-06-15 11:00:00+02:00,2022-06-15 11:00:00+02:00,2022-06-15 09:00:00+00:00,2022-06-15 09:00:00+00:00,1,Boeing 747,SWISS,EDDF
MS 9004,Expected,EDDL,DUS,Duesseldorf,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Airbus A320 (sharklets),EgyptAir,EDDF
MS 9006,Expected,EPWA,WAW,Warsaw,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A321,EgyptAir,EDDF
MS 9019,Expected,LFMN,NCE,Nice,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A320 NEO,EgyptAir,EDDF
OU 5447,Expected,EDDH,HAM,Hamburg,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A321,Croatia,EDDF
SK 3395,Expected,LEMD,MAD,Madrid,2022-06-15 11:00:00+02:00,2022-06-15 11:00:00+02:00,2022-06-15 09:00:00+00:00,2022-06-15 09:00:00+00:00,1,Airbus A321,SAS,EDDF
SK 3627,Expected,EKCH,CPH,Copenhagen,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 (sharklets),SAS,EDDF
SK 3789,Expected,LFBO,TLS,Toulouse-Blagnac,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A319,SAS,EDDF
SN 7168,Expected,LLBG,TLV,Tel Aviv Yafo,2022-06-15 11:30:00+02:00,2022-06-15 11:30:00+02:00,2022-06-15 09:30:00+00:00,2022-06-15 09:30:00+00:00,1,Airbus A321 NEO,Brussels,EDDF
SN 7233,Expected,KJFK,JFK,New York,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A340-300,Brussels,EDDF
SQ 2009,Expected,EKCH,CPH,Copenhagen,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 (sharklets),Singapore,EDDF
SQ 2011,Expected,EDDH,HAM,Hamburg,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A321,Singapore,EDDF
SQ 2021,Expected,EDDL,DUS,Duesseldorf,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Airbus A320 (sharklets),Singapore,EDDF
SQ 2063,Expected,LEMD,MAD,Madrid,2022-06-15 11:00:00+02:00,2022-06-15 11:00:00+02:00,2022-06-15 09:00:00+00:00,2022-06-15 09:00:00+00:00,1,Airbus A321,Singapore,EDDF
TG 7723,Expected,KJFK,JFK,New York,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A340-300,Thai Airways International,EDDF
TG 7953,Expected,EDDL,DUS,Duesseldorf,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Airbus A320 (sharklets),Thai Airways International,EDDF
TG 7957,Expected,EDDV,HAJ,Hanover,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,Thai Airways International,EDDF
TG 7965,Expected,EDDS,STR,Stuttgart,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,Thai Airways International,EDDF
TP 6691,Expected,ENZV,SVG,Stavanger,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Airbus A320 (sharklets),TAP Air Portugal,EDDF
TP 7509,Expected,EDDB,BER,Berlin,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Airbus A321,TAP Air Portugal,EDDF
TP 7617,Expected,EKCH,CPH,Copenhagen,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 (sharklets),TAP Air Portugal,EDDF
TP 7653,Expected,EDDS,STR,Stuttgart,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,TAP Air Portugal,EDDF
TP 7699,Expected,EDDH,HAM,Hamburg,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A321,TAP Air Portugal,EDDF
TP 7757,Expected,EDDL,DUS,Duesseldorf,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Airbus A320 (sharklets),TAP Air Portugal,EDDF
TP 7809,Expected,EDDV,HAJ,Hanover,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,TAP Air Portugal,EDDF
TP 7823,Expected,EDDC,DRS,Dresden,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Embraer 190,TAP Air Portugal,EDDF
TP 7845,Expected,EDDP,LEJ,Leipzig,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Bombardier CRJ900,TAP Air Portugal,EDDF
UA 8777,Expected,EDDS,STR,Stuttgart,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,United,EDDF
UA 8842,Expected,KJFK,JFK,New York,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A340-300,United,EDDF
UA 8873,Expected,LIML,LIN,Milan,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Airbus A320 NEO,United,EDDF
UA 8879,Expected,KDEN,DEN,Denver,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A340-300,United,EDDF
UA 8931,Expected,EDDL,DUS,Duesseldorf,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Airbus A320 (sharklets),United,EDDF
UA 8937,Expected,EPWA,WAW,Warsaw,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A321,United,EDDF
UA 8939,Expected,EDDH,HAM,Hamburg,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A321,United,EDDF
UA 8941,Expected,EDDV,HAJ,Hanover,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,United,EDDF
UA 8971,Expected,EDDB,BER,Berlin,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Airbus A321,United,EDDF
UA 9001,Expected,EDDC,DRS,Dresden,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Embraer 190,United,EDDF
UA 9011,Expected,EDDP,LEJ,Leipzig,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Bombardier CRJ900,United,EDDF
UA 9029,Expected,EKCH,CPH,Copenhagen,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 (sharklets),United,EDDF
UA 9057,Expected,LFMN,NCE,Nice,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A320 NEO,United,EDDF
TG 7687,Expected,EPWA,WAW,Warsaw,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A321,Thai Airways International,EDDF
UA 9069,Expected,LFPG,CDG,Paris,2022-06-15 11:45:00+02:00,2022-06-15 11:45:00+02:00,2022-06-15 09:45:00+00:00,2022-06-15 09:45:00+00:00,1,Airbus A320 (sharklets),United,EDDF
UA 9195,Expected,EHAM,AMS,Amsterdam,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A320 NEO,United,EDDF
UA 9550,Expected,LFBO,TLS,Toulouse-Blagnac,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A319,United,EDDF
UA 9712,Expected,LIMF,TRN,Torino,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Embraer 195,United,EDDF
VY 5516,Expected,LEMD,MAD,Madrid,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,2,Bombardier CRJX,Vueling,EDDF
AC 9152,Expected,ESSA,ARN,Stockholm,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A321,Air Canada,EDDF
AC 9175,Expected,ELLX,LUX,Luxembourg,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Bombardier CRJ900,Air Canada,EDDF
AC 9213,Expected,EDDM,MUC,Munich,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A320 (sharklets),Air Canada,EDDF
AC 9301,Expected,LIRF,FCO,Rome,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A320 (sharklets),Air Canada,EDDF
AC 9346,Expected,ENGM,OSL,Oslo,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A320 (sharklets),Air Canada,EDDF
LG 1406,Expected,ESSA,ARN,Stockholm,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A321,Luxair,EDDF
LG 1903,Expected,ELLX,LUX,Luxembourg,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Bombardier CRJ900,Luxair,EDDF
SK 3623,Expected,ENGM,OSL,Oslo,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A320 (sharklets),SAS,EDDF
SK 3671,Expected,ESSA,ARN,Stockholm,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A321,SAS,EDDF
TP 7513,Expected,ESSA,ARN,Stockholm,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A321,TAP Air Portugal,EDDF
UA 8745,Expected,ENGM,OSL,Oslo,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A320 (sharklets),United,EDDF
UA 8801,Expected,LIRF,FCO,Rome,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A320 (sharklets),United,EDDF
UA 8947,Expected,EDDM,MUC,Munich,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A320 (sharklets),United,EDDF
UA 9508,Expected,ESSA,ARN,Stockholm,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A321,United,EDDF
UA 9510,Expected,ELLX,LUX,Luxembourg,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Bombardier CRJ900,United,EDDF
UA 9287,Expected,LLBG,TLV,Tel Aviv Yafo,2022-06-15 11:30:00+02:00,2022-06-15 11:30:00+02:00,2022-06-15 09:30:00+00:00,2022-06-15 09:30:00+00:00,1,Airbus A321 NEO,United,EDDF
DE 2415,Expected,CYHZ,YHZ,Halifax,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Boeing 767-300,Condor,EDDF
LH 479,Expected,CYUL,YUL,Montréal,2022-06-15 07:05:00+02:00,2022-06-15 07:05:00+02:00,2022-06-15 05:05:00+00:00,2022-06-15 05:05:00+00:00,1,Airbus A340-300,Lufthansa,EDDF
AC 844,Expected,CYUL,YUL,Montréal,2022-06-15 08:10:00+02:00,2022-06-15 08:10:00+02:00,2022-06-15 06:10:00+00:00,2022-06-15 06:10:00+00:00,1,Boeing 787-9,Air Canada,EDDF
AC 846,Expected,CYVR,YVR,Vancouver,2022-06-15 08:05:00+02:00,2022-06-15 08:05:00+02:00,2022-06-15 06:05:00+00:00,2022-06-15 06:05:00+00:00,1,Boeing 777-300ER,Air Canada,EDDF
LH 493,Expected,CYVR,YVR,Vancouver,2022-06-15 11:00:00+02:00,2022-06-15 11:00:00+02:00,2022-06-15 09:00:00+00:00,2022-06-15 09:00:00+00:00,1,Boeing 747,Lufthansa,EDDF
DE 2427,Expected,CYXY,YXY,Whitehorse,2022-06-15 09:50:00+02:00,2022-06-15 09:50:00+02:00,2022-06-15 07:50:00+00:00,2022-06-15 07:50:00+00:00,1,Boeing 767-300,Condor,EDDF
AC 848,Expected,CYYC,YYC,Calgary,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Boeing 777-300ER,Air Canada,EDDF
AC 840,Expected,CYYZ,YYZ,Toronto,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 777-300ER,Air Canada,EDDF
LH 6789,Expected,CYYZ,YYZ,Toronto,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 777-300ER,Lufthansa,EDDF
MS 9608,Expected,CYYZ,YYZ,Toronto,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 777-300ER,EgyptAir,EDDF
OS 8202,Expected,CYYZ,YYZ,Toronto,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 777-300ER,Austrian,EDDF
OU 5937,Expected,CYYZ,YYZ,Toronto,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 777-300ER,Croatia,EDDF
SQ 1012,Expected,CYYZ,YYZ,Toronto,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 777-300ER,Singapore,EDDF
UA 8592,Expected,CYYZ,YYZ,Toronto,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 777-300ER,United,EDDF
AC 9104,Expected,CYYZ,YYZ,Toronto,2022-06-15 07:55:00+02:00,2022-06-15 07:55:00+02:00,2022-06-15 05:55:00+00:00,2022-06-15 05:55:00+00:00,1,Boeing 747-400,Air Canada,EDDF
LH 471,Expected,CYYZ,YYZ,Toronto,2022-06-15 07:55:00+02:00,2022-06-15 07:55:00+02:00,2022-06-15 05:55:00+00:00,2022-06-15 05:55:00+00:00,1,Boeing 747-400,Lufthansa,EDDF
A3 3075,Expected,CYYZ,YYZ,Toronto,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Boeing 777-300ER,Aegean,EDDF
AC 842,Expected,CYYZ,YYZ,Toronto,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Boeing 777-300ER,Air Canada,EDDF
LH 6779,Expected,CYYZ,YYZ,Toronto,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Boeing 777-300ER,Lufthansa,EDDF
MS 9610,Expected,CYYZ,YYZ,Toronto,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Boeing 777-300ER,EgyptAir,EDDF
OS 8204,Expected,CYYZ,YYZ,Toronto,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Boeing 777-300ER,Austrian,EDDF
OU 5917,Expected,CYYZ,YYZ,Toronto,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Boeing 777-300ER,Croatia,EDDF
TG 5817,Expected,CYYZ,YYZ,Toronto,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Boeing 777-300ER,Thai Airways International,EDDF
UA 8594,Expected,CYYZ,YYZ,Toronto,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Boeing 777-300ER,United,EDDF
